scientific_name,title,author,license,original_url,card_url
Campanula americana,Campanula americana,Adam Balzer,CC BY-NC-ND 2.0,https://www.flickr.com/photos/99579779@N05/19759471876,https://live.staticflickr.com/561/19759471876_9ac33c8f0f_z.jpg
Carex amphibola,"Carex amphibola (eastern narrow-leaved sedge), Cumberland, RI",Doug_McGrady,CC BY 2.0,https://www.flickr.com/photos/150919437@N06/34812792762,https://live.staticflickr.com/4196/34812792762_02b3766491_z.jpg
Carex annectens,carex annectens,François Rousseu,CC BY-NC 4.0,https://www.inaturalist.org/observations/229812520,https://inaturalist-open-data.s3.amazonaws.com/photos/407977629/medium.jpeg
Carex appalachica,Carex appalachica,BlueRidgeKitties,CC BY-NC-SA 2.0,https://www.flickr.com/photos/41380738@N05/38893729824,https://live.staticflickr.com/4603/38893729824_3025439357_z.jpg
Carex bicknellii,carex bicknellii,kwillard,CC BY-NC 4.0,https://www.inaturalist.org/observations/23003180,https://inaturalist-open-data.s3.amazonaws.com/photos/35660935/medium.jpeg
Carex brevior,carex brevior,sfreeman7,CC BY-NC 4.0,https://www.inaturalist.org/observations/167634492,https://inaturalist-open-data.s3.amazonaws.com/photos/290416051/medium.jpeg
Carex comosa,carex comosa,Barbara L. Wilson,CC BY-NC 4.0,https://www.inaturalist.org/observations/59738010,https://inaturalist-open-data.s3.amazonaws.com/photos/95469753/medium.jpeg
Carex crinita,Carex crinita,dogtooth77,CC BY-NC-SA 2.0,https://www.flickr.com/photos/53817483@N00/19222620145,https://live.staticflickr.com/280/19222620145_f7fabc778b_z.jpg
Carex grayi,Gray's Sedge,pk2morgan,CC0,https://www.flickr.com/photos/196257575@N03/52994386124,https://live.staticflickr.com/65535/52994386124_bba962b751_z.jpg
Carex hystericina,Carex hystericina (bottlebrush sedge),Marc Coles-Ritchie,CC BY-NC-SA 2.0,https://www.flickr.com/photos/97636754@N04/52081462430,https://live.staticflickr.com/65535/52081462430_bb28a2b7e0_z.jpg
Carex lurida,carex lurida,abelkinser,CC BY-NC 4.0,https://www.inaturalist.org/observations/186760817,https://inaturalist-open-data.s3.amazonaws.com/photos/326448137/medium.jpeg
Carex muskingumensis,carex muskingumensis,Shaun Pogacnik,CC BY-NC 4.0,https://www.inaturalist.org/observations/178327372,https://inaturalist-open-data.s3.amazonaws.com/photos/310289090/medium.jpeg
Carex pellita,carex pellita,Matt Tomlinson,CC BY-NC 4.0,https://www.inaturalist.org/observations/280686345,https://inaturalist-open-data.s3.amazonaws.com/photos/504147475/medium.jpg
Carex pensylvanica,Pennsylvania Sedge (Carex pensylvanica),ZoeThePlantographer,CC BY 2.0,https://www.flickr.com/photos/150923916@N03/42066096385,https://live.staticflickr.com/1765/42066096385_f6747e80c0_z.jpg
Carex plantaginea,2015.04.01_17.26.04_DSCN2216,AndreyZharkikh,CC BY 2.0,https://www.flickr.com/photos/33497841@N02/21243103548,https://live.staticflickr.com/718/21243103548_8a06803383_z.jpg
Carex stipata,Carex stipata,Matt Lavin,CC BY-SA 2.0,https://www.flickr.com/photos/35478170@N08/28098831522,https://live.staticflickr.com/8819/28098831522_4ba898ca2e_z.jpg
Carex stricta,Carex stricta staminate and pistillate spikelets,dogtooth77,CC BY-NC-SA 2.0,https://www.flickr.com/photos/53817483@N00/26648224985,https://live.staticflickr.com/1548/26648224985_87a455a3f0_z.jpg
Carex utriculata,carex utriculata,François Rousseu,CC BY-NC 4.0,https://www.inaturalist.org/observations/62597114,https://inaturalist-open-data.s3.amazonaws.com/photos/100319669/medium.jpeg
Carex vulpinoidea,carex vulpinoidea,Wayne Longbottom,CC BY-NC 4.0,https://www.inaturalist.org/observations/84868492,https://inaturalist-open-data.s3.amazonaws.com/photos/139542399/medium.jpeg
Carnegiea gigantea,Saguaro Cactus - Carnegiea gigantea,docentjoyce,CC BY 2.0,https://www.flickr.com/photos/99003655@N00/32707607733,https://live.staticflickr.com/2890/32707607733_c48886b1e9_z.jpg
Carya cordiformis,carya cordiformis,Pat Deacon,CC BY-NC 4.0,https://www.inaturalist.org/observations/187392259,https://inaturalist-open-data.s3.amazonaws.com/photos/327699677/medium.jpg
Carya illinoinensis,carya illinoinensis,Matt Tomlinson,CC BY-NC 4.0,https://www.inaturalist.org/observations/52544094,https://inaturalist-open-data.s3.amazonaws.com/photos/83534998/medium.jpeg
Carya laciniosa,carya laciniosa,drebonbon,CC BY-NC 4.0,https://www.inaturalist.org/observations/188684266,https://inaturalist-open-data.s3.amazonaws.com/photos/330316144/medium.jpg
Carya tomentosa,Carya tomentosa (4),siddarth.machado,CC BY-NC-ND 2.0,https://www.flickr.com/photos/127280380@N06/52483834481,https://live.staticflickr.com/65535/52483834481_6d8c2e410c_z.jpg
Castanea dentata,castanea dentata,Aster Ayer,CC BY-NC 4.0,https://www.inaturalist.org/observations/88490349,https://inaturalist-open-data.s3.amazonaws.com/photos/146009797/medium.jpg
Catalpa speciosa,catalpa speciosa,sstivee,CC BY-NC 4.0,https://www.inaturalist.org/observations/120551149,https://inaturalist-open-data.s3.amazonaws.com/photos/204120452/medium.jpg
Ceanothus americanus,ceanothus americanus,Douglas Goldman,CC BY-SA 4.0,https://www.inaturalist.org/observations/130146645,https://inaturalist-open-data.s3.amazonaws.com/photos/221282663/medium.jpg
Ceanothus greggii,ceanothus greggii,Jeff Bisbee,CC BY-NC 4.0,https://www.inaturalist.org/observations/69242994,https://inaturalist-open-data.s3.amazonaws.com/photos/112317051/medium.jpeg
Ceanothus griseus,ceanothus griseus,Henrik Kibak,CC BY 4.0,https://www.inaturalist.org/observations/42545699,https://inaturalist-open-data.s3.amazonaws.com/photos/67558649/medium.jpg
Ceanothus megacarpus,ceanothus megacarpus,mel letterman,CC BY 4.0,https://www.inaturalist.org/observations/275866723,https://inaturalist-open-data.s3.amazonaws.com/photos/495562453/medium.jpg
Ceanothus thyrsiflorus,ceanothus thyrsiflorus,Henrik Kibak,CC BY 4.0,https://www.inaturalist.org/observations/42545699,https://inaturalist-open-data.s3.amazonaws.com/photos/67558649/medium.jpg
Celtis occidentalis,Celtis occidentalis,anro0002,CC BY-SA 2.0,https://www.flickr.com/photos/74738817@N07/37827711824,https://live.staticflickr.com/4519/37827711824_dfcd7c0815_z.jpg
Cephalanthus occidentalis,Buttonbush (Cephalanthus occidentalis),Mary Keim,CC BY-NC-SA 2.0,https://www.flickr.com/photos/38514062@N03/32884088077,https://live.staticflickr.com/65535/32884088077_35ae534205_z.jpg
Cercidium floridum,cercidium floridum,knowepeaaisgood,CC BY-NC 4.0,https://www.inaturalist.org/observations/190865288,https://inaturalist-open-data.s3.amazonaws.com/photos/334692172/medium.jpg
Cercis canadensis,"Social Isolation 415, Eastern Redbud",pecooper98362,CC BY-NC 2.0,https://www.flickr.com/photos/29261037@N02/51175434188,https://live.staticflickr.com/65535/51175434188_da93320806_z.jpg
Cercis occidentalis,cercis occidentalis,Morgan Stickrod,CC BY-NC 4.0,https://www.inaturalist.org/observations/111200011,https://inaturalist-open-data.s3.amazonaws.com/photos/187686055/medium.jpg
Chasmanthium latifolium,"180927 203 Getty Center - Central Bowl Garden, Miscanthus sinensis var condensatus 'Cabaret', Leucadendron 'Ebony', Chasmanthium latifolium Northern Sea Oats",cultivar413,CC BY 2.0,https://www.flickr.com/photos/131880272@N06/45172062801,https://live.staticflickr.com/1917/45172062801_5a5eab0855_z.jpg
Chelone glabra,Turtlehead (Chelone glabra),Under the same moon...,CC BY 2.0,https://www.flickr.com/photos/71119007@N03/48649062712,https://live.staticflickr.com/65535/48649062712_79b35154ed_z.jpg
Cimicifuga racemosa,Cimicifuga racemosa,wallygrom,CC BY-SA 2.0,https://www.flickr.com/photos/33037982@N04/28770565276,https://live.staticflickr.com/8296/28770565276_86176847db_z.jpg
