scientific_name,common_name,full_shade,part_shade,full_sun,low_moisture,medium_moisture,high_moisture,bloom,height,width,habits,pollinator_rating,bird_rating,spread_rating,deer_resistance_rating,moisture_source,moisture_source_detail,shade_source,shade_source_detail,habit_source,habit_source_detail,usda_source,wiki_source,wildflower_source
Aquilegia pubescens,,,,,,,,,,,,,,,,,,,,,,,,
Aquilegia saximontana,,,,,,,,,,,,,,,,,,,,,,,,
Aralia nudicaulis,,,,,,,,,,,,,,,,,,,,,,,,
Aralia racemosa,,,,,,,,,,,,,,,,,,,,,,,,
Arbutus menziesii,,,,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos densiflora,,,,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos glauca,,,,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos manzanita,,,,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos pajaroensis,,,,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos patula,,,,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos pungens,,,,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos uva-ursi,,,,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos viscida,,,,,,,,,,,,,,,,,,,,,,,,
Arisaema dracontium,,,,,,,,,,,,,,,,,,,,,,,,
Arisaema triphyllum,,,,,,,,,,,,,,,,,,,,,,,,
Aristida purpurea,,,,,,,,,,,,,,,,,,,,,,,,
Aristida stricta,,,,,,,,,,,,,,,,,,,,,,,,
Armeria maritima,,,,,,,,,,,,,,,,,,,,,,,,
Arnica cordifolia,,,,,,,,,,,,,,,,,,,,,,,,
Aronia arbutifolia,,,,,,,,,,,,,,,,,,,,,,,,
Aronia melanocarpa,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia californica,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia douglasiana,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia filifolia,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia frigida,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia ludoviciana,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia tridentata,,,,,,,,,,,,,,,,,,,,,,,,
Aruncus dioicus,,,,,,,,,,,,,,,,,,,,,,,,
Asarum canadense,,,,,,,,,,,,,,,,,,,,,,,,
Asarum caudatum,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias amplexicaulis,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias asperula,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias exaltata,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias fascicularis,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias incarnata,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias lanceolata,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias oenotheroides,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias perennis,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias purpurascens,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias speciosa,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias subulata,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias sullivantii,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias syriaca,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias texana,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias tuberosa,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias variegata,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias verticillata,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias viridiflora,,,,,,,,,,,,,,,,,,,,,,,,
Asclepias viridis,,,,,,,,,,,,,,,,,,,,,,,,
Asimina triloba,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium nidus,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium platyneuron,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium polyodon,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium rhizophyllum,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium serratum,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium trichomanes,,,,,,,,,,,,,,,,,,,,,,,,
Aster alpinus,,,,,,,,,,,,,,,,,,,,,,,,
Aster ascendens,,,,,,,,,,,,,,,,,,,,,,,,
Aster chilensis,,,,,,,,,,,,,,,,,,,,,,,,
Aster cordifolius,,,,,,,,,,,,,,,,,,,,,,,,
Aster divaricatus,,,,,,,,,,,,,,,,,,,,,,,,
Aster laevis,,,,,,,,,,,,,,,,,,,,,,,,
Aster modestus,,,,,,,,,,,,,,,,,,,,,,,,
Aster novae-angliae,,,,,,,,,,,,,,,,,,,,,,,,
Aster oblongifolius,,,,,,,,,,,,,,,,,,,,,,,,
Aster umbellatus,,,,,,,,,,,,,,,,,,,,,,,,
Astragalus canadensis,,,,,,,,,,,,,,,,,,,,,,,,
