scientific_name,common_name,full_shade,part_shade,full_sun,low_moisture,medium_moisture,high_moisture,bloom,height,width,habits,pollinator_rating,bird_rating,spread_rating,deer_resistance_rating,moisture_source,moisture_source_detail,shade_source,shade_source_detail,habit_source,habit_source_detail,usda_source,wiki_source,wildflower_source
Cornus florida,,,,,,,,,,,,,,,,,,,,,,,,
Cornus nuttallii,,,,,,,,,,,,,,,,,,,,,,,,
Cornus racemosa,,,,,,,,,,,,,,,,,,,,,,,,
Cornus sericea,,,,,,,,,,,,,,,,,,,,,,,,
Corydalis sempervirens,,,,,,,,,,,,,,,,,,,,,,,,
Corylus americana,,,,,,,,,,,,,,,,,,,,,,,,
Costus speciosus,,,,,,,,,,,,,,,,,,,,,,,,
Crinum americanum,,,,,,,,,,,,,,,,,,,,,,,,
Crotalaria rotundifolia,,,,,,,,,,,,,,,,,,,,,,,,
Ctenium aromaticum,,,,,,,,,,,,,,,,,,,,,,,,
Cyanea superba,,,,,,,,,,,,,,,,,,,,,,,,
Cylindropuntia acanthocarpa,,,,,,,,,,,,,,,,,,,,,,,,
Cylindropuntia bigelovii,,,,,,,,,,,,,,,,,,,,,,,,
Cylindropuntia imbricata,,,,,,,,,,,,,,,,,,,,,,,,
Cypripedium acaule,,,,,,,,,,,,,,,,,,,,,,,,
Cypripedium montanum,,,,,,,,,,,,,,,,,,,,,,,,
Cypripedium parviflorum,,,,,,,,,,,,,,,,,,,,,,,,
Cyrilla racemiflora,,,,,,,,,,,,,,,,,,,,,,,,
Cyrtandra grayi,,,,,,,,,,,,,,,,,,,,,,,,
Cyrtandra platyphylla,,,,,,,,,,,,,,,,,,,,,,,,
Cyrtopodium punctatum,,,,,,,,,,,,,,,,,,,,,,,,
Dalea formosa,,,,,,,,,,,,,,,,,,,,,,,,
Dalea frutescens,,,,,,,,,,,,,,,,,,,,,,,,
Dalea purpurea,,,,,,,,,,,,,,,,,,,,,,,,
Darmera peltata,,,,,,,,,,,,,,,,,,,,,,,,
Dasiphora fruticosa,,,,,,,,,,,,,,,,,,,,,,,,
Dasylirion leiophyllum,,,,,,,,,,,,,,,,,,,,,,,,
Dasylirion texanum,,,,,,,,,,,,,,,,,,,,,,,,
Dasylirion wheeleri,,,,,,,,,,,,,,,,,,,,,,,,
Datura wrightii,,,,,,,,,,,,,,,,,,,,,,,,
Delphinium glaucum,,,,,,,,,,,,,,,,,,,,,,,,
Delphinium nuttallianum,,,,,,,,,,,,,,,,,,,,,,,,
Dendromecon rigida,,,,,,,,,,,,,,,,,,,,,,,,
Deschampsia caespitosa,,,,,,,,,,,,,,,,,,,,,,,,
Deschampsia cespitosa,,,,,,,,,,,,,,,,,,,,,,,,
Deschampsia flexuosa,,,,,,,,,,,,,,,,,,,,,,,,
Desmanthus illinoensis,,,,,,,,,,,,,,,,,,,,,,,,
Desmodium canadense,,,,,,,,,,,,,,,,,,,,,,,,
Dianella sandwicensis,,,,,,,,,,,,,,,,,,,,,,,,
Dicentra cucullaria,,,,,,,,,,,,,,,,,,,,,,,,
Dicentra eximia,,,,,,,,,,,,,,,,,,,,,,,,
Dicentra formosa,,,,,,,,,,,,,,,,,,,,,,,,
Dichondra carolinensis,,,,,,,,,,,,,,,,,,,,,,,,
Dicranopteris linearis,,,,,,,,,,,,,,,,,,,,,,,,
Dieffenbachia maculata,,,,,,,,,,,,,,,,,,,,,,,,
Dieffenbachia seguine,,,,,,,,,,,,,,,,,,,,,,,,
Diervilla lonicera,,,,,,,,,,,,,,,,,,,,,,,,
Diospyros sandwicensis,,,,,,,,,,,,,,,,,,,,,,,,
Diospyros texana,,,,,,,,,,,,,,,,,,,,,,,,
Diospyros virginiana,,,,,,,,,,,,,,,,,,,,,,,,
Diplacus aurantiacus,,,,,,,,,,,,,,,,,,,,,,,,
Dodecatheon meadia,,,,,,,,,,,,,,,,,,,,,,,,
Dryas integrifolia,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris arguta,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris carthusiana,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris cristata,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris expansa,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris filix-mas,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris glabra,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris intermedia,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris ludoviciana,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris marginalis,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris unidentata,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris wallichiana,,,,,,,,,,,,,,,,,,,,,,,,
Dudleya caespitosa,,,,,,,,,,,,,,,,,,,,,,,,
Dudleya farinosa,,,,,,,,,,,,,,,,,,,,,,,,
Dudleya lanceolata,,,,,,,,,,,,,,,,,,,,,,,,
Dudleya pulverulenta,,,,,,,,,,,,,,,,,,,,,,,,
Duranta erecta,,,,,,,,,,,,,,,,,,,,,,,,
Echinacea angustifolia,,,,,,,,,,,,,,,,,,,,,,,,
Echinacea pallida,,,,,,,,,,,,,,,,,,,,,,,,
Echinacea purpurea,,,,,,,,,,,,,,,,,,,,,,,,
Echinocactus texensis,,,,,,,,,,,,,,,,,,,,,,,,
Echinocereus engelmannii,,,,,,,,,,,,,,,,,,,,,,,,
Echinocereus fasciculatus,,,,,,,,,,,,,,,,,,,,,,,,
Echinocereus reichenbachii,,,,,,,,,,,,,,,,,,,,,,,,
Echinocereus triglochidiatus,,,,,,,,,,,,,,,,,,,,,,,,
Eleocharis macrostachya,,,,,,,,,,,,,,,,,,,,,,,,
Elymus canadensis,,,,,,,,,,,,,,,,,,,,,,,,
Elymus hystrix,,,,,,,,,,,,,,,,,,,,,,,,
Elymus virginicus,,,,,,,,,,,,,,,,,,,,,,,,
Encelia californica,,,,,,,,,,,,,,,,,,,,,,,,
Encelia farinosa,,,,,,,,,,,,,,,,,,,,,,,,
Engelmannia peristenia,,,,,,,,,,,,,,,,,,,,,,,,
Ephedra antisyphilitica,,,,,,,,,,,,,,,,,,,,,,,,
Ephedra californica,,,,,,,,,,,,,,,,,,,,,,,,
Ephedra nevadensis,,,,,,,,,,,,,,,,,,,,,,,,
Ephedra torreyana,,,,,,,,,,,,,,,,,,,,,,,,
Ephedra trifurca,,,,,,,,,,,,,,,,,,,,,,,,
Ephedra viridis,,,,,,,,,,,,,,,,,,,,,,,,
Epifagus virginiana,,,,,,,,,,,,,,,,,,,,,,,,
Epigaea repens,,,,,,,,,,,,,,,,,,,,,,,,
Epilobium angustifolium,,,,,,,,,,,,,,,,,,,,,,,,
Epilobium canum,,,,,,,,,,,,,,,,,,,,,,,,
Epilobium ciliatum,,,,,,,,,,,,,,,,,,,,,,,,
Equisetum arvense,,,,,,,,,,,,,,,,,,,,,,,,
Equisetum fluviatile,,,,,,,,,,,,,,,,,,,,,,,,
Equisetum hyemale,,,,,,,,,,,,,,,,,,,,,,,,
Equisetum scirpoides,,,,,,,,,,,,,,,,,,,,,,,,
Eragrostis atropioides,,,,,,,,,,,,,,,,,,,,,,,,
Eragrostis intermedia,,,,,,,,,,,,,,,,,,,,,,,,
Eragrostis spectabilis,,,,,,,,,,,,,,,,,,,,,,,,
Eragrostis variabilis,,,,,,,,,,,,,,,,,,,,,,,,
Ericameria nauseosa,,,,,,,,,,,,,,,,,,,,,,,,
Erigeron compositus,,,,,,,,,,,,,,,,,,,,,,,,
Erigeron flagellaris,,,,,,,,,,,,,,,,,,,,,,,,
Erigeron glaucus,,,,,,,,,,,,,,,,,,,,,,,,
Erigeron pulcherrimus,,,,,,,,,,,,,,,,,,,,,,,,
Erigeron speciosus,,,,,,,,,,,,,,,,,,,,,,,,
Eriodictyon crassifolium,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum alatum,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum annuum,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum arborescens,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum compositum,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum corymbosum,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum fasciculatum,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum giganteum,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum heracleoides,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum inflatum,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum jamesii,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum latifolium,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum ovalifolium,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum thomasii,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum umbellatum,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum wrightii,,,,,,,,,,,,,,,,,,,,,,,,
Eriophorum angustifolium,,,,,,,,,,,,,,,,,,,,,,,,
Eriophyllum confertiflorum,,,,,,,,,,,,,,,,,,,,,,,,
Eriophyllum lanatum,,,,,,,,,,,,,,,,,,,,,,,,
Eryngium leavenworthii,,,,,,,,,,,,,,,,,,,,,,,,
Eryngium yuccifolium,,,,,,,,,,,,,,,,,,,,,,,,
Erythrina herbacea,,,,,,,,,,,,,,,,,,,,,,,,
Erythrina sandwicensis,,,,,,,,,,,,,,,,,,,,,,,,
Erythronium albidum,,,,,,,,,,,,,,,,,,,,,,,,
Erythronium americanum,,,,,,,,,,,,,,,,,,,,,,,,
Erythronium californicum,,,,,,,,,,,,,,,,,,,,,,,,
Erythronium grandiflorum,,,,,,,,,,,,,,,,,,,,,,,,
Erythronium oregonum,,,,,,,,,,,,,,,,,,,,,,,,
Erythroxylum areolatum,,,,,,,,,,,,,,,,,,,,,,,,
Eschscholzia californica,,,,,,,,,,,,,,,,,,,,,,,,
Eugenia axillaris,,,,,,,,,,,,,,,,,,,,,,,,
Eugenia confusa,,,,,,,,,,,,,,,,,,,,,,,,
Eugenia foetida,,,,,,,,,,,,,,,,,,,,,,,,
Eupatorium altissimum,,,,,,,,,,,,,,,,,,,,,,,,
Eupatorium capillifolium,,,,,,,,,,,,,,,,,,,,,,,,
Eupatorium coelestinum,,,,,,,,,,,,,,,,,,,,,,,,
Eupatorium dubium,,,,,,,,,,,,,,,,,,,,,,,,
Eupatorium fistulosum,,,,,,,,,,,,,,,,,,,,,,,,
Eupatorium hyssopifolium,,,,,,,,,,,,,,,,,,,,,,,,
Eupatorium maculatum,,,,,,,,,,,,,,,,,,,,,,,,
Eupatorium perfoliatum,,,,,,,,,,,,,,,,,,,,,,,,
Eupatorium purpureum,,,,,,,,,,,,,,,,,,,,,,,,
Eupatorium rugosum,,,,,,,,,,,,,,,,,,,,,,,,
Eupatorium serotinum,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbia corollata,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbia cyathophora,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbia marginata,,,,,,,,,,,,,,,,,,,,,,,,
Eurybia divaricata,,,,,,,,,,,,,,,,,,,,,,,,
Eurybia macrophylla,,,,,,,,,,,,,,,,,,,,,,,,
Euthamia caroliniana,,,,,,,,,,,,,,,,,,,,,,,,
Euthamia graminifolia,,,,,,,,,,,,,,,,,,,,,,,,
Eutrochium fistulosum,,,,,,,,,,,,,,,,,,,,,,,,
Eutrochium maculatum,,,,,,,,,,,,,,,,,,,,,,,,
Eutrochium purpureum,,,,,,,,,,,,,,,,,,,,,,,,
Eutrochium steelei,,,,,,,,,,,,,,,,,,,,,,,,
Fagus grandifolia,,,,,,,,,,,,,,,,,,,,,,,,
Fallugia paradoxa,,,,,,,,,,,,,,,,,,,,,,,,
Ferocactus cylindraceus,,,,,,,,,,,,,,,,,,,,,,,,
Ferocactus wislizeni,,,,,,,,,,,,,,,,,,,,,,,,
Festuca californica,,,,,,,,,,,,,,,,,,,,,,,,
Festuca idahoensis,,,,,,,,,,,,,,,,,,,,,,,,
Festuca rubra,,,,,,,,,,,,,,,,,,,,,,,,
Ficus aurea,,,,,,,,,,,,,,,,,,,,,,,,
Ficus citrifolia,,,,,,,,,,,,,,,,,,,,,,,,
Filipendula rubra,,,,,,,,,,,,,,,,,,,,,,,,
Fimbristylis cymosa,,,,,,,,,,,,,,,,,,,,,,,,
Forestiera pubescens,,,,,,,,,,,,,,,,,,,,,,,,
Fothergilla gardenii,,,,,,,,,,,,,,,,,,,,,,,,
Fouquieria splendens,,,,,,,,,,,,,,,,,,,,,,,,
Fragaria chiloensis,,,,,,,,,,,,,,,,,,,,,,,,
Fragaria vesca,,,,,,,,,,,,,,,,,,,,,,,,
Fragaria virginiana,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus americana,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus anomala,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus dipetala,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus latifolia,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus nigra,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus pennsylvanica,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus texensis,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus velutina,,,,,,,,,,,,,,,,,,,,,,,,
Fremontodendron californicum,,,,,,,,,,,,,,,,,,,,,,,,
Freycinetia arborea,,,,,,,,,,,,,,,,,,,,,,,,
Gaillardia aristata,,,,,,,,,,,,,,,,,,,,,,,,
Gaillardia pulchella,,,,,,,,,,,,,,,,,,,,,,,,
Gaillardia suavis,,,,,,,,,,,,,,,,,,,,,,,,
Galax urceolata,,,,,,,,,,,,,,,,,,,,,,,,
Galium aparine,,,,,,,,,,,,,,,,,,,,,,,,
Galium boreale,,,,,,,,,,,,,,,,,,,,,,,,
Galium triflorum,,,,,,,,,,,,,,,,,,,,,,,,
Galvezia speciosa,,,,,,,,,,,,,,,,,,,,,,,,
Garrya elliptica,,,,,,,,,,,,,,,,,,,,,,,,
Garrya flavescens,,,,,,,,,,,,,,,,,,,,,,,,
Garrya wrightii,,,,,,,,,,,,,,,,,,,,,,,,
Gaultheria procumbens,,,,,,,,,,,,,,,,,,,,,,,,
Gaultheria shallon,,,,,,,,,,,,,,,,,,,,,,,,
Gaura coccinea,,,,,,,,,,,,,,,,,,,,,,,,
Gaura lindheimeri,,,,,,,,,,,,,,,,,,,,,,,,
Gelsemium sempervirens,,,,,,,,,,,,,,,,,,,,,,,,
Gentiana andrewsii,,,,,,,,,,,,,,,,,,,,,,,,
Geranium caespitosum,,,,,,,,,,,,,,,,,,,,,,,,
Geranium californicum,,,,,,,,,,,,,,,,,,,,,,,,
Geranium erianthum,,,,,,,,,,,,,,,,,,,,,,,,
Geranium maculatum,,,,,,,,,,,,,,,,,,,,,,,,
Geranium oreganum,,,,,,,,,,,,,,,,,,,,,,,,
Geranium richardsonii,,,,,,,,,,,,,,,,,,,,,,,,
Geranium robertianum,,,,,,,,,,,,,,,,,,,,,,,,
Geranium viscosissimum,,,,,,,,,,,,,,,,,,,,,,,,
Geum aleppicum,,,,,,,,,,,,,,,,,,,,,,,,
Geum canadense,,,,,,,,,,,,,,,,,,,,,,,,
Geum macrophyllum,,,,,,,,,,,,,,,,,,,,,,,,
Geum rivale,,,,,,,,,,,,,,,,,,,,,,,,
Geum rossii,,,,,,,,,,,,,,,,,,,,,,,,
Geum triflorum,,,,,,,,,,,,,,,,,,,,,,,,
Geum vernum,,,,,,,,,,,,,,,,,,,,,,,,
Gillenia trifoliata,,,,,,,,,,,,,,,,,,,,,,,,
Glandularia bipinnatifida,,,,,,,,,,,,,,,,,,,,,,,,
Gleditsia triacanthos,,,,,,,,,,,,,,,,,,,,,,,,
Glyceria grandis,,,,,,,,,,,,,,,,,,,,,,,,
Glyceria striata,,,,,,,,,,,,,,,,,,,,,,,,
Goodyera oblongifolia,,,,,,,,,,,,,,,,,,,,,,,,
Goodyera pubescens,,,,,,,,,,,,,,,,,,,,,,,,
Goodyera repens,,,,,,,,,,,,,,,,,,,,,,,,
Gouania vitifolia,,,,,,,,,,,,,,,,,,,,,,,,
Grindelia stricta,,,,,,,,,,,,,,,,,,,,,,,,
Guaiacum officinale,,,,,,,,,,,,,,,,,,,,,,,,
Gutierrezia microcephala,,,,,,,,,,,,,,,,,,,,,,,,
Gutierrezia sarothrae,,,,,,,,,,,,,,,,,,,,,,,,
Gymnocarpium dryopteris,,,,,,,,,,,,,,,,,,,,,,,,
Gymnocladus dioicus,,,,,,,,,,,,,,,,,,,,,,,,
Hamamelis virginiana,,,,,,,,,,,,,,,,,,,,,,,,
Hamelia patens,,,,,,,,,,,,,,,,,,,,,,,,
Hedyotis terminalis,,,,,,,,,,,,,,,,,,,,,,,,
Hedysarum alpinum,,,,,,,,,,,,,,,,,,,,,,,,
Helenium amarum,,,,,,,,,,,,,,,,,,,,,,,,
Helenium autumnale,,,,,,,,,,,,,,,,,,,,,,,,
Helenium bigelovii,,,,,,,,,,,,,,,,,,,,,,,,
Helenium flexuosum,,,,,,,,,,,,,,,,,,,,,,,,
Helianthus angustifolius,,,,,,,,,,,,,,,,,,,,,,,,
Helianthus annuus,,,,,,,,,,,,,,,,,,,,,,,,
Helianthus debilis,,,,,,,,,,,,,,,,,,,,,,,,
Helianthus decapetalus,,,,,,,,,,,,,,,,,,,,,,,,
Helianthus divaricatus,,,,,,,,,,,,,,,,,,,,,,,,
Helianthus maximiliani,,,,,,,,,,,,,,,,,,,,,,,,
Helianthus mollis,,,,,,,,,,,,,,,,,,,,,,,,
Helianthus occidentalis,,,,,,,,,,,,,,,,,,,,,,,,
Helianthus pauciflorus,,,,,,,,,,,,,,,,,,,,,,,,
Helianthus strumosus,,,,,,,,,,,,,,,,,,,,,,,,
Helianthus tuberosus,,,,,,,,,,,,,,,,,,,,,,,,
Heliconia bihai,,,,,,,,,,,,,,,,,,,,,,,,
Heliconia caribaea,,,,,,,,,,,,,,,,,,,,,,,,
Heliomeris multiflora,,,,,,,,,,,,,,,,,,,,,,,,
Heliopsis helianthoides,,,,,,,,,,,,,,,,,,,,,,,,
Heliotropium angiospermum,,,,,,,,,,,,,,,,,,,,,,,,
Hepatica acutiloba,,,,,,,,,,,,,,,,,,,,,,,,
Hepatica americana,,,,,,,,,,,,,,,,,,,,,,,,
Hepatica nobilis,,,,,,,,,,,,,,,,,,,,,,,,
Heracleum maximum,,,,,,,,,,,,,,,,,,,,,,,,
Hesperaloe parviflora,,,,,,,,,,,,,,,,,,,,,,,,
Hesperocallis undulata,,,,,,,,,,,,,,,,,,,,,,,,
Hesperostipa comata,,,,,,,,,,,,,,,,,,,,,,,,
Hesperostipa spartea,,,,,,,,,,,,,,,,,,,,,,,,
Hesperoyucca whipplei,,,,,,,,,,,,,,,,,,,,,,,,
Heteromeles arbutifolia,,,,,,,,,,,,,,,,,,,,,,,,
Heteropogon contortus,,,,,,,,,,,,,,,,,,,,,,,,
Heterotheca grandiflora,,,,,,,,,,,,,,,,,,,,,,,,
Heuchera americana,,,,,,,,,,,,,,,,,,,,,,,,
Heuchera cylindrica,,,,,,,,,,,,,,,,,,,,,,,,
Heuchera elegans,,,,,,,,,,,,,,,,,,,,,,,,
Heuchera hirsutissima,,,,,,,,,,,,,,,,,,,,,,,,
Heuchera maxima,,,,,,,,,,,,,,,,,,,,,,,,
Heuchera micrantha,,,,,,,,,,,,,,,,,,,,,,,,
Heuchera parvifolia,,,,,,,,,,,,,,,,,,,,,,,,
Heuchera richardsonii,,,,,,,,,,,,,,,,,,,,,,,,
Heuchera rubescens,,,,,,,,,,,,,,,,,,,,,,,,
Heuchera sanguinea,,,,,,,,,,,,,,,,,,,,,,,,
Hexastylis arifolia,,,,,,,,,,,,,,,,,,,,,,,,
Hibiscus arnottianus,,,,,,,,,,,,,,,,,,,,,,,,
Hibiscus brackenridgei,,,,,,,,,,,,,,,,,,,,,,,,
Hibiscus coccineus,,,,,,,,,,,,,,,,,,,,,,,,
Hibiscus grandiflorus,,,,,,,,,,,,,,,,,,,,,,,,
Hibiscus kokio,,,,,,,,,,,,,,,,,,,,,,,,
Hibiscus laevis,,,,,,,,,,,,,,,,,,,,,,,,
Hibiscus moscheutos,,,,,,,,,,,,,,,,,,,,,,,,
Hibiscus waimeae,,,,,,,,,,,,,,,,,,,,,,,,
Holodiscus discolor,,,,,,,,,,,,,,,,,,,,,,,,
Hydrangea arborescens,,,,,,,,,,,,,,,,,,,,,,,,
Hydrangea quercifolia,,,,,,,,,,,,,,,,,,,,,,,,
Hydrocotyle americana,,,,,,,,,,,,,,,,,,,,,,,,
Hydrocotyle umbellata,,,,,,,,,,,,,,,,,,,,,,,,
Hydrocotyle verticillata,,,,,,,,,,,,,,,,,,,,,,,,
Hydrophyllum occidentale,,,,,,,,,,,,,,,,,,,,,,,,
Hydrophyllum tenuipes,,,,,,,,,,,,,,,,,,,,,,,,
Hydrophyllum virginianum,,,,,,,,,,,,,,,,,,,,,,,,
Hymenocallis liriosme,,,,,,,,,,,,,,,,,,,,,,,,
Hymenoclea salsola,,,,,,,,,,,,,,,,,,,,,,,,
Hymenopappus artemisiifolius,,,,,,,,,,,,,,,,,,,,,,,,
Hymenopappus filifolius,,,,,,,,,,,,,,,,,,,,,,,,
Hymenopappus scabiosaeus,,,,,,,,,,,,,,,,,,,,,,,,
Hymenoxys acaulis,,,,,,,,,,,,,,,,,,,,,,,,
Hymenoxys hoopesii,,,,,,,,,,,,,,,,,,,,,,,,
Hymenoxys scaposa,,,,,,,,,,,,,,,,,,,,,,,,
Hypericum brachyphyllum,,,,,,,,,,,,,,,,,,,,,,,,
Hypericum hypericoides,,,,,,,,,,,,,,,,,,,,,,,,
Hypericum prolificum,,,,,,,,,,,,,,,,,,,,,,,,
Ilex anomala,,,,,,,,,,,,,,,,,,,,,,,,
Ilex cassine,,,,,,,,,,,,,,,,,,,,,,,,
Ilex decidua,,,,,,,,,,,,,,,,,,,,,,,,
Ilex glabra,,,,,,,,,,,,,,,,,,,,,,,,
Ilex opaca,,,,,,,,,,,,,,,,,,,,,,,,
Ilex verticillata,,,,,,,,,,,,,,,,,,,,,,,,
Ilex vomitoria,,,,,,,,,,,,,,,,,,,,,,,,
Illicium floridanum,,,,,,,,,,,,,,,,,,,,,,,,
Impatiens capensis,,,,,,,,,,,,,,,,,,,,,,,,
Ipomopsis aggregata,,,,,,,,,,,,,,,,,,,,,,,,
Ipomopsis rubra,,,,,,,,,,,,,,,,,,,,,,,,
Iris brevicaulis,,,,,,,,,,,,,,,,,,,,,,,,
Iris cristata,,,,,,,,,,,,,,,,,,,,,,,,
Iris douglasiana,,,,,,,,,,,,,,,,,,,,,,,,
Iris fulva,,,,,,,,,,,,,,,,,,,,,,,,
Iris hexagona,,,,,,,,,,,,,,,,,,,,,,,,
Iris macrosiphon,,,,,,,,,,,,,,,,,,,,,,,,
Iris missouriensis,,,,,,,,,,,,,,,,,,,,,,,,
Iris prismatica,,,,,,,,,,,,,,,,,,,,,,,,
Iris setosa,,,,,,,,,,,,,,,,,,,,,,,,
Iris tenax,,,,,,,,,,,,,,,,,,,,,,,,
Iris versicolor,,,,,,,,,,,,,,,,,,,,,,,,
Iris virginica,,,,,,,,,,,,,,,,,,,,,,,,
Isocoma acradenia,,,,,,,,,,,,,,,,,,,,,,,,
Isocoma menziesii,,,,,,,,,,,,,,,,,,,,,,,,
Isomeris arborea,,,,,,,,,,,,,,,,,,,,,,,,
Itea virginica,,,,,,,,,,,,,,,,,,,,,,,,
Jacquemontia sandwicensis,,,,,,,,,,,,,,,,,,,,,,,,
Jeffersonia diphylla,,,,,,,,,,,,,,,,,,,,,,,,
Juglans californica,,,,,,,,,,,,,,,,,,,,,,,,
Juglans major,,,,,,,,,,,,,,,,,,,,,,,,
Juncus acuminatus,,,,,,,,,,,,,,,,,,,,,,,,
Juncus canadensis,,,,,,,,,,,,,,,,,,,,,,,,
Juncus debilis,,,,,,,,,,,,,,,,,,,,,,,,
Juncus dichotomus,,,,,,,,,,,,,,,,,,,,,,,,
Juncus diffusissimus,,,,,,,,,,,,,,,,,,,,,,,,
Juncus effusus,,,,,,,,,,,,,,,,,,,,,,,,
Juncus marginatus,,,,,,,,,,,,,,,,,,,,,,,,
Juncus patens,,,,,,,,,,,,,,,,,,,,,,,,
Juncus repens,,,,,,,,,,,,,,,,,,,,,,,,
Juncus scirpoides,,,,,,,,,,,,,,,,,,,,,,,,
Juncus tenuis,,,,,,,,,,,,,,,,,,,,,,,,
Juncus textilis,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus ashei,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus californica,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus communis,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus deppeana,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus horizontalis,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus monosperma,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus osteosperma,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus scopulorum,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus virginiana,,,,,,,,,,,,,,,,,,,,,,,,
Kalmia latifolia,,,,,,,,,,,,,,,,,,,,,,,,
Keckiella antirrhinoides,,,,,,,,,,,,,,,,,,,,,,,,
Keckiella cordifolia,,,,,,,,,,,,,,,,,,,,,,,,
Koeleria macrantha,,,,,,,,,,,,,,,,,,,,,,,,
Krascheninnikovia lanata,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,,,,,,,,,,,,,,,,,,,,,,,,
Lantana involucrata,,,,,,,,,,,,,,,,,,,,,,,,
Lantana urticoides,,,,,,,,,,,,,,,,,,,,,,,,
Laportea canadensis,,,,,,,,,,,,,,,,,,,,,,,,
Larrea tridentata,,,,,,,,,,,,,,,,,,,,,,,,
Lathyrus japonicus,,,,,,,,,,,,,,,,,,,,,,,,
Lathyrus lanszwertii,,,,,,,,,,,,,,,,,,,,,,,,
Lathyrus maritimus,,,,,,,,,,,,,,,,,,,,,,,,
Lavatera assurgentiflora,,,,,,,,,,,,,,,,,,,,,,,,
Ledum groenlandicum,,,,,,,,,,,,,,,,,,,,,,,,
Leersia oryzoides,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium bidentatum,,,,,,,,,,,,,,,,,,,,,,,,
Leptosyne gigantea,,,,,,,,,,,,,,,,,,,,,,,,
Lespedeza capitata,,,,,,,,,,,,,,,,,,,,,,,,
Leucophyllum frutescens,,,,,,,,,,,,,,,,,,,,,,,,
Leucothoe axillaris,,,,,,,,,,,,,,,,,,,,,,,,
Leucothoe fontanesiana,,,,,,,,,,,,,,,,,,,,,,,,
Leymus mollis,,,,,,,,,,,,,,,,,,,,,,,,
Liatris aspera,,,,,,,,,,,,,,,,,,,,,,,,
Liatris elegans,,,,,,,,,,,,,,,,,,,,,,,,
Liatris ligulistylis,,,,,,,,,,,,,,,,,,,,,,,,
Liatris mucronata,,,,,,,,,,,,,,,,,,,,,,,,
Liatris punctata,,,,,,,,,,,,,,,,,,,,,,,,
Liatris pycnostachya,,,,,,,,,,,,,,,,,,,,,,,,
Liatris spicata,,,,,,,,,,,,,,,,,,,,,,,,
Liatris tenuifolia,,,,,,,,,,,,,,,,,,,,,,,,
Ligusticum scoticum,,,,,,,,,,,,,,,,,,,,,,,,
Lilium columbianum,,,,,,,,,,,,,,,,,,,,,,,,
Lilium michiganense,,,,,,,,,,,,,,,,,,,,,,,,
Lilium philadelphicum,,,,,,,,,,,,,,,,,,,,,,,,
Lilium superbum,,,,,,,,,,,,,,,,,,,,,,,,
Lindera benzoin,,,,,,,,,,,,,,,,,,,,,,,,
Linnaea borealis,,,,,,,,,,,,,,,,,,,,,,,,
